Nr;Structure;Field (PM) [T];freq-span [Hz];avg;Gain
m274;C;1;50/ 12.5/ 3.125;30;20
m275;#1;1;;;
m276;#2;;;;
m277;C;4;;;
m278;#1;;;;
m279;C;;+ 1.5 (Long);;
m280;C;0;;;
m281;P;;;;
m282;P;-9.4 mT (down);;;
m283;C;;;;
m286;P;-2.824 mT (down);;;
m287;P;-0.0063 T;;;
m288;P;0.01247;;;
m289;P;0.015;;;
m290;P;0.03;;;
m291;P;-0.57246;+ 1.5 / 0.8 (Long);;
m292;P;-0.10422;;;
m293;P;-4;;;
m294;C;-4;;;
m295;#1;-4;;;
m296;#2;-4;;;
m297;C;-2.824 mT;;;
m298;C;-0.0063 T;;;
m299;C;-0.5725;+ 1.5 (Long);;
m300;C;0.01247;;;
m301;C;0.015;;;
