,Struct,Angle,Voltage,Frequency,Temp,Preamp,Rate,Time,Dir,Limit,dB,timeconstant,Error,SR
430,Plusses,45,2.5,17,30,False,8,600,Down,0.2,0.01,0.1,,
431,Plusses,45,2.5,17,30,False,8,600,Up,0.2,0.01,0.1,,
432,Plusses,45,2.5,17,30,True,16,1024,Down,0.1,0.0025,0.1,True,
433,Plusses,45,2.5,113,30,True,16,1024,Up,0.1,0.002,0.1,,
434,Plusses,45,2.5,113,30,True,32,512,Up,0.2,0.02,0.1,,
435,Plusses,45,5,113,30,True,16,1024,Down,0.1,0.005,0.1,,
436,Plusses,45,5,113,30,True,8,1024,Down,0.2,0.005,0.1,,
437,Plusses,45,5,113,30,False,8,768,Up,0.15,0.005,0.1,,
438,Plusses,45,5,113,30,False,4,2048,Down,0.1,0.01,0.1,,
439,Plusses,45,5,113,30,False,16,1024,Down,0.1,0.005,0.1,,
440,Plusses,45,5,113,30,False,32,512,Up,0.1,0.005,0.1,,
441,Plusses,45,5,113,30,False,32,512,Down,0.1,0.005,0.1,,
442,Plusses,45,5,113,30,False,4,2048,Up,0.1,0.005,0.1,,
443,Plusses,45,5,113,20,False,8,2048,Down,0.1,0.005,0.1,True,
444,Plusses,45,5,113,20,False,8,2048,Up,0.1,0.005,0.1,True,
445,Plusses,45,5,113,10,False,2,2048,Down,0.1,0.005,0.1,True,
446,Plusses,45,5,113,15,False,8,2048,Down,0.1,0.005,0.1,,
447,Plusses,45,5,113,15,False,8,2048,Up,0.1,0.005,0.1,,
448,Plusses,45,5,113,15,False,4,2048,Down,0.1,0.005,0.3,True,
449,Plusses,45,5,113,15,False,4,2048,Up,0.1,0.005,0.3,True,
450,Empty,45,5,113,15,False,8,1024,Down,0.1,0.005,0.3,,
451,Empty,45,5,113,15,False,8,1024,Up,0.1,0.005,0.3,,
452,Plusses,80,5,17,15,False,8,1024,Down,0.3,0.015,0.1,,
453,Plusses,80,5,17,15,False,8,1024,Up,0.3,0.015,0.1,,
454,Plusses,80,5,17,15,False,8,2048,Down,0.15,0.005,0.1,True,
455,Plusses,80,5,17,15,False,8,2048,Up,0.15,0.005,0.1,,
456,Plusses,80,5,17,15,False,8,2048,STATIC,0,0,0.1,,
458,Plusses,80,5,17,15,False,8,2048,Down,0.1,0.05,0.1,,
459,Plusses,80,5,17,15,False,8,2048,Up,0.1,0.05,0.1,,
460,Plusses,80,5,17,15,False,8,2048,Down,0.1,0.05,0.1,True,
461,Plusses,80,5,17,15,False,8,2048,Up,0.1,0.05,0.1,,
462,Plusses,80,5,17,15,False,8,2048,Down,0.1,0.05,0.1,,
463,Empty,80,5,17,15,False,8,2048,Down,0.1,0.05,0.1,,
464,Empty,80,5,17,15,False,8,2048,Up,0.1,0.05,0.1,,
466,Plusses,80,5,17,15,False,8,1024,Down,0.1,0.05,0.03,,
467,Plusses,80,5,17,15,False,8,1024,Up,0.1,0.05,0.03,,
468,Plusses,80,5,17,15,False,8,1024,Down,0.1,0.05,0.03,,
469,Plusses,80,5,17,15,False,8,1024,Up,0.1,0.05,0.03,,
470,Plusses,80,5,17,15,False,8,1024,Down,0.1,0.05,0.01,,
471,Plusses,80,5,17,15,False,8,1024,Up,0.1,0.05,0.01,,
472,Plusses,80,5,17,15,False,8,1800,Down,0.1,0.05,0.1,,
473,Plusses,80,5,17,15,False,8,1800,Up,0.1,0.05,0.1,,
474,Empty,80,5,17,15,False,8,1024,Down,0.1,0.05,0.1,,
475,Empty,80,5,17,15,False,8,1024,Up,0.1,0.05,0.1,,
476,Empty,80,5,17,15,False,8,1024,Down,0.1,0.05,0.03,,
477,Empty,80,5,17,15,False,8,1024,Up,0.1,0.05,0.03,,
478,Empty,80,5,17,15,False,8,1024,Down,0.1,0.05,0.1,,
479,Empty,80,5,17,15,False,8,1024,Up,0.1,0.05,0.1,,
480,Empty,45,5,17,15,False,8,1024,Down,0.1,0.05,0.1,,
481,Empty,45,5,17,15,False,8,1024,Up,0.1,0.05,0.1,,
482,Plusses,45,5,17,15,False,8,1024,Down,0.1,0.05,0.1,,
483,Plusses,45,5,17,15,False,8,1024,Up,0.1,0.05,0.1,,
484,Plusses,45,2.5,17,15,False,8,1024,Down,0.1,0.05,0.1,,
485,Plusses,45,2.5,17,15,False,8,1024,Up,0.1,0.05,0.1,,
486,Plusses,45,5,17,15,False,8,1024,Down,0.2,0.1,0.1,,
487,Plusses,45,5,17,15,False,8,1024,Up,0.2,0.1,0.1,,
488,Plusses,45,5,17,15,False,8,1024,Down,0.2,0.1,0.03,,
489,Plusses,45,5,17,15,False,8,1024,Up,0.2,0.1,0.03,,
490,Empty,45,5,17,15,False,8,1024,Down,0.2,0.1,0.1,,
491,Empty,45,5,17,15,False,8,1024,Up,0.2,0.1,0.1,,
492,Empty,45,5,17,15,False,8,1024,Down,0.2,0.1,0.03,,
493,Empty,45,5,17,15,False,8,1024,Up,0.2,0.1,0.03,,
494,Empty,90,5,17,15,False,8,1024,Up,0.025,,0.003,True,200/150/100/50
495,Empty,90,5,17,15,False,8,1024,Up,0.025,,0.003,True,20/15/10/5
496,Empty,90,5,17,15,False,8,1024,Up,0.025,,0.003,True,2/1.5/1
497,Plusses,90,5,17,15,False,8,,Up,0.025,,0.003,,20/15/10/5/2.5/1
498,Plusses,90,0.5/1.0/1.5/2.0/2.5/3.0/3.5/4.0/4.5/5.0,17,15,False,8,,Up,0.1,,0.003,,5.9
499,Plusses,90,0.5/1.0/1.5/2.0/2.5/3.0/3.5/4.0/4.5/5.0,113,15,False,8,,Up,0.1,,0.003,,5.9
500,Plusses,90,5,113,15,False,8,,Up,0.025,,0.003,,20/15/10/5/2.5/1
501,Plusses,90,5,113,15,False,8,,Up,0.025,,0.003,,2/1.5/1/0
502,Plusses,90,5,113,15,False,8,,Up,0.025,,0.03,,2/1.5/1
503,Plusses,90,5,113,15,False,8,,Up,0.5/0.75/1.0/1.25/1.5,,0.03,,2
504,Plusses,90,5,113,15,False,8,,Up,0.5/0.75/1.0/1.25/1.5,,0.003,,2
505,Plusses,90,5,113,15,False,8,,Up,0.5/0.75/1.0/1.25/1.5,,0.1,,2
506,Plusses,90,0.5/1.0/1.5/2.0/2.5/3.0/3.5/4.0/4.5/5.0,17,15,False,8,,Up,0.1,,0.1,,5
507,Plusses,90,5,17,15,False,8,,Up,0.025,,0.1,,2/1.5/1/0
508,Plusses,90,2.5/3.0/3.5/4.0/4.5/5.0,17,15,False,8,,Up,0.1,,0.1,,5
